Job Title,Salary Minimum,Salary Maximum,Salary Average,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Average Hourly Rate,Converted Salary,City,State
IT-Data Analyst,45 ,82,61021 ,3.9,Federated Mutual Insurance Company,"Owatonna, MN",1001 to 5000 Employees,1904.0,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),0,61021 ,Owatonna, MN
Research and Data Analyst,51 ,91,67848 ,4.1,Association of American Medical Colleges,"Washington, DC",501 to 1000 Employees,1876.0,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$100 to $500 million (USD),0,67848 ,Washington, DC
Jr. Data Analyst,34.00 ,36.00,35.00 ,4.9,Spartan Capital Group LLC,Remote,1 to 50 Employees,2018.0,Company - Private,Business Consulting,Management & Consulting,$1 to $5 million (USD),1,72800,Remote,Remote
Data Analyst + Apprentice (Entry-Level),35 ,45,40000 ,3.3,New Apprenticeship,"Raleigh, NC",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,0,40000 ,Raleigh, NC
Data Analyst,90 ,110,100000 ,4.6,Store Space Self Storage,"Greenwood Village, CO",201 to 500 Employees,2017.0,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,0,100000 ,Greenwood Village, CO
Data Modelling Analyst,40 ,85,58299 ,3.9,Aurora Energy Research Limited,"Austin, TX",201 to 500 Employees,2013.0,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable,0,58299 ,Austin, TX
Data Analyst,97 ,135,116000 ,3.6,KEYENCE,"Itasca, IL",5001 to 10000 Employees,1974.0,Company - Public,Machinery Manufacturing,Manufacturing,$5 to $10 million (USD),0,116000 ,Itasca, IL
Cybersecurity Analyst II (Remote),100 ,180,140000 ,3.8,The Home Depot,"Atlanta, GA",10000+ Employees,1978.0,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD),0,140000 ,Atlanta, GA
Data Analyst,80 ,100,90000 ,3.1,Entourage Freight Solutions,"Westerville, OH",201 to 500 Employees,1985.0,Company - Private,Food & Beverage Manufacturing,Manufacturing,Unknown / Non-Applicable,0,90000 ,Westerville, OH
IT Data Analyst,62 ,100,81000 ,3.0,"DTRIC Insurance Company, Limited","Honolulu, HI",51 to 200 Employees,1992.0,Company - Public,Insurance Carriers,Insurance,$10 to $25 million (USD),0,81000 ,Honolulu, HI
BI Data Analyst,100 ,150,125000 ,,meadows group,"Edina, MN",,,,,,,0,125000 ,Edina, MN
Sr Data Analyst,67 ,139,96678 ,2.8,"Driven Brands, Inc.","Charlotte, NC",1001 to 5000 Employees,2006.0,Company - Public,Automotive Parts & Accessories Stores,Retail & Wholesale,$100 to $500 million (USD),0,96678 ,Charlotte, NC
Data Analyst,95 ,110,102500 ,3.0,G2 Secure Staff,"Irving, TX",1001 to 5000 Employees,2005.0,Company - Private,"Airlines, Airports & Air Transportation",Transportation & Logistics,$100 to $500 million (USD),0,102500 ,Irving, TX
Data Analyst (SQL),159 ,159,159100 ,3.6,Peraton,"Seaside, CA",10000+ Employees,2017.0,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD),0,159100 ,Seaside, CA
Digital Data Analyst,50 ,94,68946 ,3.3,Amica Mutual Insurance Company,"Lincoln, RI",1001 to 5000 Employees,1907.0,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),0,68946 ,Lincoln, RI
Data Analyst,50 ,98,73786 ,3.8,Nationwide Children's Hospital,"Columbus, OH",10000+ Employees,1892.0,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$1 to $2 billion (USD),0,73786 ,Columbus, OH
Data Analyst ($20 - $25/hour),20.00 ,25.00,22.50 ,3.3,Equity Staffing Group,Remote,501 to 1000 Employees,2009.0,Company - Private,HR Consulting,Human Resources & Staffing,$50 to $100 million (USD),1,45760,Remote,Remote
Data Analyst - Payment Reconciliation Focused,20.50 ,20.50,20.50 ,3.7,DentaQuest,Remote,1001 to 5000 Employees,2001.0,Company - Private,Insurance Carriers,Insurance,$2 to $5 billion (USD),1,41600,Remote,Remote
SQL Data Analyst,60 ,80,70000 ,4.4,Pattern,"Omaha, NE",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,0,70000 ,Omaha, NE
Data Analyst,55 ,65,60000 ,,North Carolina Healthcare Association,"Cary, NC",,,,,,,0,60000 ,Cary, NC
Data Analyst,50 ,80,65000 ,4.4,The Custom Companies Inc,"Melrose Park, IL",201 to 500 Employees,1986.0,Company - Private,Shipping & Trucking,Transportation & Logistics,$100 to $500 million (USD),0,65000 ,Melrose Park, IL
Data Analyst (remote),60 ,80,70000 ,2.9,CarePoint Health,"Denver, CO",201 to 500 Employees,,Company - Private,Health Care Services & Hospitals,Healthcare,$5 to $10 million (USD),0,70000 ,Denver, CO
Senior Data Analyst (remote),95 ,120,107500 ,2.9,CarePoint Health,"Salt Lake City, UT",201 to 500 Employees,,Company - Private,Health Care Services & Hospitals,Healthcare,$5 to $10 million (USD),0,107500 ,Salt Lake City, UT
Data & BI Analyst I,66 ,109,87919 ,3.9,EDWARD JONES,"Saint Charles, IL",10000+ Employees,1922.0,Company - Private,Investment & Asset Management,Financial Services,$5 to $10 billion (USD),0,87919 ,Saint Charles, IL
Senior Data Science Analyst,70 ,108,86836 ,3.9,Discover,"Riverwoods, IL",1001 to 5000 Employees,1985.0,Company - Public,Banking & Lending,Financial Services,$25 to $50 million (USD),0,86836 ,Riverwoods, IL
Junior Data Analyst,51 ,85,67909 ,,Professional Services,"Hackensack, NJ",,,,,,,0,67909 ,Hackensack, NJ
Data Analyst (focus on PowerBI and DAX),80 ,100,90000 ,5.0,RSM Solutions Inc,Remote,1 to 50 Employees,,Contract,Business Consulting,Management & Consulting,Less than $1 million (USD),0,90000 ,Remote,Remote
IT-Data Analyst,45 ,82,61021 ,3.9,Federated Mutual Insurance Company,"Owatonna, MN",1001 to 5000 Employees,1904.0,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),0,61021 ,Owatonna, MN
Research and Data Analyst,51 ,91,67848 ,4.1,Association of American Medical Colleges,"Washington, DC",501 to 1000 Employees,1876.0,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$100 to $500 million (USD),0,67848 ,Washington, DC
Data Analyst,90 ,110,100000 ,4.6,Store Space Self Storage,"Greenwood Village, CO",201 to 500 Employees,2017.0,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,0,100000 ,Greenwood Village, CO
Jr. Data Analyst,34.00 ,36.00,35.00 ,4.9,Spartan Capital Group LLC,Remote,1 to 50 Employees,2018.0,Company - Private,Business Consulting,Management & Consulting,$1 to $5 million (USD),1,72800,Remote,Remote
Data Modelling Analyst,40 ,85,58299 ,3.9,Aurora Energy Research Limited,"Austin, TX",201 to 500 Employees,2013.0,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable,0,58299 ,Austin, TX
Master Data Analyst II,55 ,93,71743 ,3.2,Refresco North America,"Tampa, FL",Unknown,,Unknown,Electronics Manufacturing,Manufacturing,Unknown / Non-Applicable,0,71743 ,Tampa, FL
Data Analyst,97 ,135,116000 ,3.6,KEYENCE,"Itasca, IL",5001 to 10000 Employees,1974.0,Company - Public,Machinery Manufacturing,Manufacturing,$5 to $10 million (USD),0,116000 ,Itasca, IL
IT Data Analyst,62 ,100,81000 ,3.0,"DTRIC Insurance Company, Limited","Honolulu, HI",51 to 200 Employees,1992.0,Company - Public,Insurance Carriers,Insurance,$10 to $25 million (USD),0,81000 ,Honolulu, HI
Data Analyst,50 ,98,73786 ,3.8,Nationwide Children's Hospital,"Columbus, OH",10000+ Employees,1892.0,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$1 to $2 billion (USD),0,73786 ,Columbus, OH
Data Analyst (remote),60 ,80,70000 ,2.9,CarePoint Health,"Denver, CO",201 to 500 Employees,,Company - Private,Health Care Services & Hospitals,Healthcare,$5 to $10 million (USD),0,70000 ,Denver, CO
Digital Data Analyst,50 ,94,68946 ,3.3,Amica Mutual Insurance Company,"Lincoln, RI",1001 to 5000 Employees,1907.0,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),0,68946 ,Lincoln, RI
Data & BI Analyst I,66 ,109,87919 ,3.9,EDWARD JONES,"Saint Charles, IL",10000+ Employees,1922.0,Company - Private,Investment & Asset Management,Financial Services,$5 to $10 billion (USD),0,87919 ,Saint Charles, IL
Data Analyst,95 ,110,102500 ,3.0,G2 Secure Staff,"Irving, TX",1001 to 5000 Employees,2005.0,Company - Private,"Airlines, Airports & Air Transportation",Transportation & Logistics,$100 to $500 million (USD),0,102500 ,Irving, TX
Data Analyst (Business Intelligence),80 ,85,82500 ,3.8,Millennial Specialty Insurance,Remote,501 to 1000 Employees,2006.0,Company - Private,Insurance Agencies & Brokerages,Insurance,$25 to $50 million (USD),0,82500 ,Remote,Remote
Data Analyst I,47 ,78,60623 ,3.1,Tarzana Treatment Center,"Woodland Hills, CA",501 to 1000 Employees,1971.0,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$25 to $50 million (USD),0,60623 ,Woodland Hills, CA
BI Data Analyst,100 ,150,125000 ,,meadows group,"Edina, MN",,,,,,,0,125000 ,Edina, MN
IT Data Analyst - Meter Data Lake,77 ,110,93333 ,3.8,Xcel Energy,"Denver, CO",10000+ Employees,1909.0,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$10+ billion (USD),0,93333 ,Denver, CO
Data Analyst + Apprentice (Entry-Level),35 ,45,40000 ,3.3,New Apprenticeship,"Raleigh, NC",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,0,40000 ,Raleigh, NC
Principal Data Analyst,79 ,130,101356 ,3.9,Discover,"Riverwoods, IL",1001 to 5000 Employees,1985.0,Company - Public,Banking & Lending,Financial Services,$25 to $50 million (USD),0,101356 ,Riverwoods, IL
Statistical Data Analyst,60 ,80,70000 ,4.4,Pattern,"Omaha, NE",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,0,70000 ,Omaha, NE
Data Analyst,70 ,85,77500 ,3.1,Archdiocese of Chicago,"Chicago, IL",1 to 50 Employees,,Nonprofit Organization,Religious Institutions,Nonprofit & NGO,$1 to $5 million (USD),0,77500 ,Chicago, IL
Data Analyst,80 ,93,86250 ,,CW-SS,"San Diego, CA",,,,,,,0,86250 ,San Diego, CA
Data Analyst,45 ,83,61122 ,3.5,Aldi,"Batavia, IL",10000+ Employees,1976.0,Company - Private,Grocery Stores,Retail & Wholesale,Unknown / Non-Applicable,0,61122 ,Batavia, IL
Business Data Analyst II,75 ,75,75000 ,3.5,CEVA Logistics,"Mount Juliet, TN",10000+ Employees,1946.0,Company - Private,Shipping & Trucking,Transportation & Logistics,$10+ billion (USD),0,75000 ,Mount Juliet, TN
"Provider Network, Data Analyst",56 ,85,70500 ,3.8,Summa Health,"Akron, OH",5001 to 10000 Employees,1926.0,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$100 to $500 million (USD),0,70500 ,Akron, OH
