Job Title,Salary Minimum,Salary Maximum,Salary Average,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Audio Visual System Design Engineer,$61K ,$100K,"$80,500 /yr (est.)",,CCS,"Denver, CO",,,,,,
Audio Visual Design Engineer,$85K ,$110K,"$97,500 /yr (est.)",4.3,"AV-Worx
4.3","West Palm Beach, FL",1 to 50 Employees,2014,Company - Private,Business Consulting,Management & Consulting,$5 to $10 million (USD)
Audio Visual Systems Field Engineer,$48K ,$83K,"$63,005 /yr (est.)",4.3,"System Source
4.3","Hunt Valley, MD",51 to 200 Employees,1981,Company - Private,Information Technology Support Services,Information Technology,$10 to $25 million (USD)
(NY) Audio/Visual Design Engineer,$50K ,$98K,"$69,978 /yr (est.)",3.8,"A-V Services Inc.
3.8","New York, NY",201 to 500 Employees,1960,Company - Private,Telecommunications Services,Telecommunications,Unknown / Non-Applicable
Audio Visual Systems Engineer,,,,,Camera Corner / Connecting Point,"Green Bay, WI",,,,,,
Audio Visual Engineer,$44K ,$103K,"$67,259 /yr (est.)",3.1,"JVN Systems Inc.
3.1","Deer Park, NY",1 to 50 Employees,,Company - Private,,,$5 to $10 million (USD)
Audio Visual Design Engineer,$65K ,$90K,"$77,500 /yr (est.)",,Technology Providers Inc.,"Gilbert, AZ",,,,,,
Audio Visual Design Engineer/Estimator,$85K ,$105K,"$95,000 /yr (est.)",3.2,"Network Cabling Services (NCS)
3.2","Dallas, TX",201 to 500 Employees,,Company - Private,Telecommunications Services,Telecommunications,Unknown / Non-Applicable
Audio Visual Systems Engineer,,,,,ACP CreativIT dba Arlington Computer Products,"Buffalo Grove, IL",,,,,,
"Pre-Sales Design Engineer, Audio Visual Remote",$56K ,$102K,"$75,493 /yr (est.)",3.6,"Johnson Controls
3.6","Roswell, GA",10000+ Employees,1885,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD)
Audio Visual Sales Engineer,$70K ,$80K,"$75,000 /yr (est.)",,Vario,Remote,,,,,,
Audio Visual Design Sales Engineer,$65K ,$85K,"$75,000 /yr (est.)",3.6,"Spectra Audio Design Group
3.6","New York, NY",1 to 50 Employees,,Company - Private,Advertising & Public Relations,Media & Communication,$5 to $10 million (USD)
Audio Visual Field Engineer,$20.00 /hr,$40.00,$30.00 /hr (est.),,"Vistacom, Inc",Pennsylvania,,,,,,
