Job Title,Salary Minimum,Salary Maximum,Salary Average,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Average Hourly Rate,Converted Salary,City,State,Company Age (years),Title Grouping,Seniority Level
Audio Visual System Design Engineer,61 ,100,80500 ,,CCS,"Denver, CO",,,,,,,0,80500 ,Denver,CO,,engineer,na
Audio Visual Design Engineer,85 ,110,97500 ,4.3,AV-Worx,"West Palm Beach, FL",1 to 50 Employees,2014.0,Company - Private,Business Consulting,Management & Consulting,$5 to $10 million (USD),0,97500 ,West Palm Beach,FL,8.0,engineer,na
Audio Visual Systems Field Engineer,48 ,83,63005 ,4.3,System Source,"Hunt Valley, MD",51 to 200 Employees,1981.0,Company - Private,Information Technology Support Services,Information Technology,$10 to $25 million (USD),0,63005 ,Hunt Valley,MD,41.0,engineer,na
(NY) Audio/Visual Design Engineer,50 ,98,69978 ,3.8,A-V Services Inc.,"New York, NY",201 to 500 Employees,1960.0,Company - Private,Telecommunications Services,Telecommunications,Unknown / Non-Applicable,0,69978 ,New York,NY,62.0,engineer,na
Audio Visual Engineer,44 ,103,67259 ,3.1,JVN Systems Inc.,"Deer Park, NY",1 to 50 Employees,,Company - Private,,,$5 to $10 million (USD),0,67259 ,Deer Park,NY,,engineer,na
Audio Visual Design Engineer,65 ,90,77500 ,,Technology Providers Inc.,"Gilbert, AZ",,,,,,,0,77500 ,Gilbert,AZ,,engineer,na
Audio Visual Design Engineer/Estimator,85 ,105,95000 ,3.2,Network Cabling Services (NCS),"Dallas, TX",201 to 500 Employees,,Company - Private,Telecommunications Services,Telecommunications,Unknown / Non-Applicable,0,95000 ,Dallas,TX,,engineer,na
"Pre-Sales Design Engineer, Audio Visual Remote",56 ,102,75493 ,3.6,Johnson Controls,"Roswell, GA",10000+ Employees,1885.0,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD),0,75493 ,Roswell,GA,137.0,engineer,na
Audio Visual Sales Engineer,70 ,80,75000 ,,Vario,Remote,,,,,,,0,75000 ,Remote,Remote,,engineer,na
Audio Visual Design Sales Engineer,65 ,85,75000 ,3.6,Spectra Audio Design Group,"New York, NY",1 to 50 Employees,,Company - Private,Advertising & Public Relations,Media & Communication,$5 to $10 million (USD),0,75000 ,New York,NY,,engineer,na
Audio Visual Field Engineer,41.6,83.2,30.00 ,,"Vistacom, Inc",Pennsylvania,,,,,,,1,62400,Pennsylvania,PA,,engineer,na
Systems Engineer - Audio/Visual Integration,49 ,108,72437 ,2.9,Bluum,"Saint Paul, MN",501 to 1000 Employees,1946.0,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,72437 ,Saint Paul,MN,76.0,engineer,na
Audio Visual Systems Engineer,70 ,70,70000 ,4.2,The Mom Project,"New York, NY",51 to 200 Employees,2016.0,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,0,70000 ,New York,NY,6.0,engineer,na
Audio Visual (AV) Engineer,81.12,93.6,42.71 ,3.9,Robert Half,"Richardson, TX",10000+ Employees,1948.0,Company - Public,HR Consulting,Human Resources & Staffing,$5 to $10 billion (USD),1,87360,Richardson,TX,74.0,engineer,na
"Senior Associate, Audio-Visual Engineer",100 ,125,112500 ,3.8,TM Technology Partners,Remote,1 to 50 Employees,,Company - Private,Business Consulting,Management & Consulting,$5 to $10 million (USD),0,112500 ,Remote,Remote,,engineer,senior
Audio Visual Engineer - Poly,54 ,122,81352 ,3.8,American Water,"Camden, NJ",5001 to 10000 Employees,1886.0,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$2 to $5 billion (USD),0,81352 ,Camden,NJ,136.0,engineer,na
Audio Visual Engineer,62.4,76.96,33.50 ,4.0,Infomatics Inc,"Farmington Hills, MI",51 to 200 Employees,1998.0,Company - Private,Information Technology Support Services,Information Technology,$10 to $25 million (USD),1,68640,Farmington Hills,MI,24.0,engineer,na
Audio Visual Sales Engineer,80 ,120,100000 ,,Commercial Technology,"Clifton, NJ",,,,,,,0,100000 ,Clifton,NJ,,engineer,na
Senior Audio Visual Systems Engineer,52 ,96,70828 ,4.3,"POWER Engineers, Inc.","Boise, ID",1001 to 5000 Employees,1976.0,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",$500 million to $1 billion (USD),0,70828 ,Boise,ID,46.0,engineer,senior
Audio Engineer,47 ,93,65776 ,4.1,Cato Institute,"Washington, DC",51 to 200 Employees,1976.0,Nonprofit Organization,Grantmaking & Charitable Foundations,Nonprofit & NGO,$25 to $50 million (USD),0,65776 ,Washington,DC,46.0,engineer,na
Audio Visual Systems Design Engineer,45 ,65,55000 ,,Crescent Multimedia Solutions,Remote,,,,,,,0,55000 ,Remote,Remote,,engineer,na
Technical Design Engineer - Audio Visual - $70k and Up,70 ,70,70000 ,1.9,All Pro Integrated Systems,Remote,51 to 200 Employees,1980.0,Company - Private,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$25 to $50 million (USD),0,70000 ,Remote,Remote,42.0,engineer,na
Audio-Visual Engineer,64 ,116,86085 ,3.0,"Applied Minds, LLC","Burbank, CA",51 to 200 Employees,,Company - Private,Computer Hardware Development,Information Technology,$10 to $25 million (USD),0,86085 ,Burbank,CA,,engineer,na
Audio Visual Design Engineer,44 ,75,57568 ,3.7,"Conference Technologies, Inc.","Atlanta, GA",201 to 500 Employees,1988.0,Company - Private,Telecommunications Services,Telecommunications,$50 to $100 million (USD),0,57568 ,Atlanta,GA,34.0,engineer,na
Audio Visual Sales Engineer,56 ,112,78733 ,3.8,Access Communications,"San Jose, CA",51 to 200 Employees,,Company - Private,,,$25 to $50 million (USD),0,78733 ,San Jose,CA,,engineer,na
Audio Visual Technician,41.6,104.0,35.00 ,,Corporate Audio Visual Labor,"Atlanta, GA",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,1,72800,Atlanta,GA,,technician,na
Sr. Audio-Visual Engineer,120 ,120,120000 ,4.2,The Mom Project,"New York, NY",51 to 200 Employees,2016.0,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,0,120000 ,New York,NY,6.0,engineer,senior
Technical Sound Designer,106.08,120.64,54.50 ,4.0,The World's Largest Social Network,"Boston, MA",1 to 50 Employees,2012.0,Private Practice / Firm,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,1,112320,Boston,MA,10.0,Unbinned,na
Senior Service Engineer - Audio-Visual System Engineer,106 ,176,136450 ,4.4,Microsoft,"Redmond, WA",10000+ Employees,1975.0,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),0,136450 ,Redmond,WA,47.0,engineer,senior
Audio Visual Production Engineer,49 ,97,69038 ,4.4,United Center Joint Venture,"Chicago, IL",1 to 50 Employees,,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,69038 ,Chicago,IL,,engineer,na
Senior Audio Visual Design Engineer,77 ,158,109986 ,4.3,MasterCard,"O'Fallon, MO",10000+ Employees,1966.0,Company - Public,Financial Transaction Processing,Financial Services,$5 to $10 billion (USD),0,109986 ,O'Fallon,MO,56.0,engineer,senior
Audio Visual Technician (Sr. Engineer),56 ,105,76944 ,3.9,Edwards Lifesciences,"Irvine, CA",10000+ Employees,1958.0,Company - Public,Health Care Products Manufacturing,Manufacturing,$2 to $5 billion (USD),0,76944 ,Irvine,CA,64.0,engineer,senior
Sr. Network Technician-Audio Visual 1,35 ,67,48321 ,3.6,Johns Hopkins Health System,"Saint Petersburg, FL",1001 to 5000 Employees,1889.0,Company - Private,Health Care Services & Hospitals,Healthcare,$500 million to $1 billion (USD),0,48321 ,Saint Petersburg,FL,133.0,technician,senior
Audio Visual Collaboration Engineer,57 ,112,80142 ,3.0,Texas Capital Bank,"Richardson, TX",1001 to 5000 Employees,1998.0,Company - Public,Banking & Lending,Financial Services,Unknown / Non-Applicable,0,80142 ,Richardson,TX,24.0,engineer,na
Audio Visual Engineer,44 ,96,65147 ,4.2,Susquehanna International Group,"Bala Cynwyd, PA",1001 to 5000 Employees,1987.0,Company - Private,Stock Exchanges,Financial Services,Unknown / Non-Applicable,0,65147 ,Bala Cynwyd,PA,35.0,engineer,na
Audio Visual Field Engineer,40 ,72,53388 ,3.7,NEW ERA TECHNOLOGY,"Minnetonka, MN",501 to 1000 Employees,,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),0,53388 ,Minnetonka,MN,,engineer,na
Audio Visual Engineer,70 ,139,98766 ,4.2,Coupa Software,"San Mateo, CA",1001 to 5000 Employees,2006.0,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,98766 ,San Mateo,CA,16.0,engineer,na
Audio Visual Engineer - Information Technology Consultant - Career,60 ,60,60000 ,4.2,California State University,"San Francisco, CA",10000+ Employees,1962.0,College / University,Colleges & Universities,Education,$10+ billion (USD),0,60000 ,San Francisco,CA,60.0,engineer,na
Audio Visual Systems Engineer,38 ,82,55582 ,3.0,Riverside EpiCenter,"Austell, GA",Unknown,,Company - Public,,,Unknown / Non-Applicable,0,55582 ,Austell,GA,,engineer,na
Senior Audio-Visual Systems Engineer,50 ,90,66808 ,4.2,Sacred Heart University,"Fairfield, CT",501 to 1000 Employees,1963.0,College / University,Colleges & Universities,Education,$100 to $500 million (USD),0,66808 ,Fairfield,CT,59.0,engineer,senior
Sneaky Big Studios - Audio Engineer,40 ,85,57992 ,1.9,Yam Worldwide,"Scottsdale, AZ",501 to 1000 Employees,2010.0,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,0,57992 ,Scottsdale,AZ,12.0,engineer,na
Audio Visual Engineer,60 ,70,65000 ,3.3,First Baptist Church of Glenarden,"Landover, MD",51 to 200 Employees,1917.0,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,$10 to $25 million (USD),0,65000 ,Landover,MD,105.0,engineer,na
Audio Visual (AV) Post Engineer,39 ,79,55858 ,3.6,Golden Star Technology,"Cerritos, CA",51 to 200 Employees,1985.0,Company - Private,Information Technology Support Services,Information Technology,$50 to $100 million (USD),0,55858 ,Cerritos,CA,37.0,engineer,na
