Job Title,Salary Minimum,Salary Maximum,Salary Average,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Converted Salary,City,State,Company Age (years),Title Grouping,Seniority Level,Average Hourly Rate
Data Analyst + Apprentice (Entry-Level),35 ,45,40000 ,3.3,New Apprenticeship,"Raleigh, NC",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,40000 ,Raleigh,NC,,analyst,na,0
Data Analyst,97 ,135,116000 ,3.6,KEYENCE,"Itasca, IL",5001 to 10000 Employees,1974.0,Company - Public,Machinery Manufacturing,Manufacturing,$5 to $10 million (USD),116000 ,Itasca,IL,48.0,analyst,na,0
Data Analyst,100 ,110,105000 ,3.7,National Association of Boards of Pharmacy,"Mount Prospect, IL",51 to 200 Employees,1904.0,Nonprofit Organization,Membership Organizations,Management & Consulting,$25 to $50 million (USD),105000 ,Mount Prospect,IL,118.0,analyst,na,0
"Remote - Test Data Analyst (SQL queries, ALM, Excel)",50.00 ,55.00,52.50 ,,Compest Solutions Inc,Remote,,,,,,,108160,Remote,Remote,,analyst,na,0
Data Analyst,65 ,80,72500 ,4.1,Meritize,Remote,51 to 200 Employees,2016.0,Company - Private,Banking & Lending,Financial Services,Unknown / Non-Applicable,72500 ,Remote,Remote,6.0,analyst,na,0
Data Analyst,40 ,40,40000 ,3.7,Apollo Retail,Remote,1001 to 5000 Employees,1992.0,Company - Private,Other Retail Stores,Retail & Wholesale,$50 to $100 million (USD),40000 ,Remote,Remote,30.0,analyst,na,0
SQL Data Analyst – Part Time,18.00 ,18.00,18.00 ,,Sackett Financial Group,"Brea, CA",,,,,,,37440,Brea,CA,,analyst,na,0
Data Analyst II,90 ,115,102500 ,2.3,Holman,"Mount Laurel, NJ",51 to 200 Employees,1964.0,Company - Private,Advertising & Public Relations,Media & Communication,$5 to $10 million (USD),102500 ,Mount Laurel,NJ,58.0,analyst,na,0
Jr. Data Analyst,48 ,98,68420 ,3.7,Vdart Inc,"Plano, TX",1001 to 5000 Employees,2007.0,Company - Private,Information Technology Support Services,Information Technology,$50 to $100 million (USD),68420 ,Plano,TX,15.0,analyst,junior,0
Data Analyst,48 ,90,66214 ,3.5,Change Healthcare,"Los Angeles, CA",10000+ Employees,2007.0,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,66214 ,Los Angeles,CA,15.0,analyst,na,0
Staff Cybersecurity Analyst (Remote),120 ,210,165000 ,3.8,The Home Depot,"Atlanta, GA",10000+ Employees,1978.0,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD),165000 ,Atlanta,GA,44.0,analyst,na,0
Data Analyst II,30.00 ,37.00,33.50 ,4.4,eTeam Inc,Remote,5001 to 10000 Employees,1999.0,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD),68640,Remote,Remote,23.0,analyst,na,0
Data Reporting Analyst,65 ,85,75000 ,4.4,iTalent Digital,Remote,201 to 500 Employees,2005.0,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,75000 ,Remote,Remote,17.0,analyst,na,0
Exciting Data Analyst Job - Direct Hire - Remote,85 ,105,95000 ,4.2,The HT Group,"Carolina, PR",1 to 50 Employees,2001.0,Company - Private,HR Consulting,Human Resources & Staffing,$10 to $25 million (USD),95000 ,Carolina,PR,21.0,analyst,na,0
RX Google Data Analyst,120 ,120,120000 ,3.9,Talent Nexus for Lorien US (Impellam US),Remote,1001 to 5000 Employees,2008.0,Company - Public,HR Consulting,Human Resources & Staffing,$2 to $5 billion (USD),120000 ,Remote,Remote,14.0,analyst,na,0
REMOTE Data Analyst,130 ,150,140000 ,4.1,CyberCoders,"Los Angeles, CA",201 to 500 Employees,1999.0,Subsidiary or Business Segment,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD),140000 ,Los Angeles,CA,23.0,analyst,na,0
Data Analyst,50.00 ,60.00,55.00 ,,Insight Global,"San Francisco, CA",,,,,,,114400,San Francisco,CA,,analyst,na,0
Data Analyst Supporting the FBI,25.29 ,25.29,25.29 ,3.3,FSA Federal,"Linthicum, MD",1001 to 5000 Employees,2004.0,Company - Private,HR Consulting,Human Resources & Staffing,$50 to $100 million (USD),52000,Linthicum,MD,18.0,analyst,na,0
Senior Data Analyst,150 ,175,162500 ,4.1,CyberCoders,"New York, NY",201 to 500 Employees,1999.0,Subsidiary or Business Segment,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD),162500 ,New York,NY,23.0,analyst,senior,0
Data Analyst - 100% REMOTE,40.00 ,46.00,43.00 ,5.0,SGA,Remote,Unknown,,Company - Public,,,Unknown / Non-Applicable,89440,Remote,Remote,,analyst,na,0
Administrative Assistant/Data Analyst,22.00 ,26.00,24.00 ,3.3,Integrity Consulting,Remote,1 to 50 Employees,,Company - Private,,,$1 to $5 million (USD),49920,Remote,Remote,,analyst,na,0
Administrative Assistant / Data Analyst Supporting the DEA,20.58 ,20.58,20.58 ,3.3,FSA Federal,"Cincinnati, OH",1001 to 5000 Employees,2004.0,Company - Private,HR Consulting,Human Resources & Staffing,$50 to $100 million (USD),41600,Cincinnati,OH,18.0,analyst,na,0
Junior Data Analyst,26.00 ,30.00,28.00 ,4.5,Veriant Solutions,"San Antonio, TX",1 to 50 Employees,2011.0,Company - Private,HR Consulting,Human Resources & Staffing,$1 to $5 million (USD),58240,San Antonio,TX,11.0,analyst,junior,0
Data Analyst,50.00 ,60.00,55.00 ,,Insight Global,"San Francisco, CA",,,,,,,114400,San Francisco,CA,,analyst,na,0
Data Analyst,75 ,90,82500 ,,"J2A Systems, LLC",Remote,,,,,,,82500 ,Remote,Remote,,analyst,na,0
Jr. Data Analyst,22.00 ,24.00,23.00 ,,Custom Staffing,"Parsippany, NJ",,,,,,,47840,Parsippany,NJ,,analyst,junior,0
DATA ANALYST,34.00 ,36.00,35.00 ,4.6,"RJM Technologies, Inc.","Washington, DC",1 to 50 Employees,2004.0,Company - Private,HR Consulting,Human Resources & Staffing,$1 to $5 million (USD),72800,Washington,DC,18.0,analyst,na,0
Data Analyst,75 ,115,95000 ,,Delta Hire,Remote,Unknown,,Company - Private,,,Unknown / Non-Applicable,95000 ,Remote,Remote,,analyst,na,0
Data analyst Level 1,35.00 ,42.00,38.50 ,,"Computer Enterprises, Inc. (CEI)","Cincinnati, OH",Unknown,,Company - Public,,,Unknown / Non-Applicable,79040,Cincinnati,OH,,analyst,na,0
Data Analyst + Apprentice (Entry-Level),35 ,45,40000 ,3.3,New Apprenticeship,"Raleigh, NC",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,40000 ,Raleigh,NC,,analyst,na,0
Data Analyst,97 ,135,116000 ,3.6,KEYENCE,"Itasca, IL",5001 to 10000 Employees,1974.0,Company - Public,Machinery Manufacturing,Manufacturing,$5 to $10 million (USD),116000 ,Itasca,IL,48.0,analyst,na,0
"Remote - Test Data Analyst (SQL queries, ALM, Excel)",50.00 ,55.00,52.50 ,,Compest Solutions Inc,Remote,,,,,,,108160,Remote,Remote,,analyst,na,0
Data Analyst,40 ,40,40000 ,3.7,Apollo Retail,Remote,1001 to 5000 Employees,1992.0,Company - Private,Other Retail Stores,Retail & Wholesale,$50 to $100 million (USD),40000 ,Remote,Remote,30.0,analyst,na,0
(REMOTE) AUSTIN based Data Analyst,59 ,72,65500 ,4.4,iTalent Digital,"Austin, TX",201 to 500 Employees,2005.0,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,65500 ,Austin,TX,17.0,analyst,na,0
Data Analyst (Business Intelligence),80 ,85,82500 ,3.8,Millennial Specialty Insurance,Remote,501 to 1000 Employees,2006.0,Company - Private,Insurance Agencies & Brokerages,Insurance,$25 to $50 million (USD),82500 ,Remote,Remote,16.0,analyst,na,0
Data Analyst,65 ,80,72500 ,4.1,Meritize,Remote,51 to 200 Employees,2016.0,Company - Private,Banking & Lending,Financial Services,Unknown / Non-Applicable,72500 ,Remote,Remote,6.0,analyst,na,0
Data Reporting Analyst,65 ,85,75000 ,4.4,iTalent Digital,Remote,201 to 500 Employees,2005.0,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,75000 ,Remote,Remote,17.0,analyst,na,0
Junior Business Analyst,47 ,117,81773 ,3.9,Genpact,"Atlanta, GA",10000+ Employees,1997.0,Company - Public,Information Technology Support Services,Information Technology,$2 to $5 billion (USD),81773 ,Atlanta,GA,25.0,analyst,junior,0
Staff Cybersecurity Analyst (Remote),120 ,210,165000 ,3.8,The Home Depot,"Atlanta, GA",10000+ Employees,1978.0,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD),165000 ,Atlanta,GA,44.0,analyst,na,0
Data Analyst,90 ,90,90000 ,2.7,Ultimate Health Plans Inc.,Remote,1 to 50 Employees,,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,90000 ,Remote,Remote,,analyst,na,0
Data Analyst II,30.00 ,37.00,33.50 ,4.4,eTeam Inc,Remote,5001 to 10000 Employees,1999.0,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD),68640,Remote,Remote,23.0,analyst,na,0
Data Analyst,28.00 ,32.00,30.00 ,4.4,eTeam Inc,"Jersey City, NJ",5001 to 10000 Employees,1999.0,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD),62400,Jersey City,NJ,23.0,analyst,na,0
RX Google Data Analyst,120 ,120,120000 ,3.9,Talent Nexus for Lorien US (Impellam US),Remote,1001 to 5000 Employees,2008.0,Company - Public,HR Consulting,Human Resources & Staffing,$2 to $5 billion (USD),120000 ,Remote,Remote,14.0,analyst,na,0
REMOTE Data Analyst,130 ,150,140000 ,4.1,CyberCoders,"Los Angeles, CA",201 to 500 Employees,1999.0,Subsidiary or Business Segment,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD),140000 ,Los Angeles,CA,23.0,analyst,na,0
Exciting Data Analyst Job - Direct Hire - Remote,85 ,105,95000 ,4.2,The HT Group,"Carolina, PR",1 to 50 Employees,2001.0,Company - Private,HR Consulting,Human Resources & Staffing,$10 to $25 million (USD),95000 ,Carolina,PR,21.0,analyst,na,0
Data Analyst,63.00 ,65.00,64.00 ,3.8,Who... a staffing company,Remote,1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable,133120,Remote,Remote,,analyst,na,0
Master Data Analyst,40.00 ,40.00,40.00 ,3.5,Kelly,"New Brunswick, NJ",5001 to 10000 Employees,1946.0,Company - Public,HR Consulting,Human Resources & Staffing,$5 to $10 billion (USD),83200,New Brunswick,NJ,76.0,analyst,na,0
Data Analyst,50.00 ,60.00,55.00 ,,Insight Global,"San Francisco, CA",,,,,,,114400,San Francisco,CA,,analyst,na,0
Data Analyst (Change Management),60.00 ,88.00,74.00 ,3.6,Vector Technical Resources Inc.,Remote,51 to 200 Employees,,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,153920,Remote,Remote,,analyst,na,0
Remote Senior Data Analyst,140 ,160,150000 ,4.1,CyberCoders,"San Francisco, CA",201 to 500 Employees,1999.0,Subsidiary or Business Segment,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD),150000 ,San Francisco,CA,23.0,analyst,senior,0
