Job Title,Salary Minimum,Salary Maximum,Salary Average,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Average Hourly Rate,City,State,Company Age (years),Title Grouping,Seniority Level
Data Analyst,97 ,135,116.0,3.6,KEYENCE,"Itasca, IL",5001 to 10000 Employees,1974,Company - Public,Machinery Manufacturing,Manufacturing,$5 to $10 million (USD),0,Itasca,IL,48,analyst,na
Data Analyst,58.24,93.6,76.96,3.3,State of Vermont,"Waterbury, VT",5001 to 10000 Employees,1791,Government,State & Regional Agencies,Government & Public Administration,Less than $1 million (USD),1,Waterbury,VT,231,analyst,na
Senior Data Analyst (Local or Remote),66 ,132,92.885,5.0,"Point Digital Finance, Inc.","Palo Alto, CA",201 to 500 Employees,2015,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,0,Palo Alto,CA,7,analyst,senior
Data Analyst,174 ,174,174.1,3.6,Peraton,"Annapolis Junction, MD",10000+ Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD),0,Annapolis Junction,MD,5,analyst,na
Data Analyst,90 ,110,100.0,4.6,Store Space Self Storage,"Greenwood Village, CO",201 to 500 Employees,2017,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,0,Greenwood Village,CO,5,analyst,na
Data Analyst,41.6,52.0,45.76,3.2,"Datrose, Inc","Owego, NY",201 to 500 Employees,1976,Company - Private,HR Consulting,Human Resources & Staffing,$10 to $25 million (USD),1,Owego,NY,46,analyst,na
Data Analyst,40 ,40,40.0,3.7,Apollo Retail,Remote,1001 to 5000 Employees,1992,Company - Private,Other Retail Stores,Retail & Wholesale,$50 to $100 million (USD),0,Remote,Remote,30,analyst,na
Jr. Data Analyst,48 ,98,68.406,3.7,Vdart Inc,"Plano, TX",1001 to 5000 Employees,2007,Company - Private,Information Technology Support Services,Information Technology,$50 to $100 million (USD),0,Plano,TX,15,analyst,junior
Data Analyst - Programmatic,60 ,80,70.0,4.0,Zeta Global,Remote,1001 to 5000 Employees,2007,Company - Public,Advertising & Public Relations,Media & Communication,$100 to $500 million (USD),0,Remote,Remote,15,analyst,na
Clinical Data Management Analyst (Remote),45 ,100,67.107,3.3,Merit Medical,"Rockland, MA",5001 to 10000 Employees,1987,Company - Public,Health Care Products Manufacturing,Manufacturing,$500 million to $1 billion (USD),0,Rockland,MA,35,analyst,na
(REMOTE) AUSTIN based Data Analyst,59 ,72,65.5,4.4,iTalent Digital,"Austin, TX",201 to 500 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,Austin,TX,17,analyst,na
Data Analyst II,62.4,76.96,68.64,4.4,eTeam Inc,Remote,5001 to 10000 Employees,1999,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD),1,Remote,Remote,23,analyst,na
Data Entry Analyst,32 ,56,41.898,3.6,Advantage Technical,"Redondo Beach, CA",201 to 500 Employees,1969,Company - Private,HR Consulting,Human Resources & Staffing,$100 to $500 million (USD),0,Redondo Beach,CA,53,analyst,na
Data Analyst Specialist,66.56,87.36,76.96,3.3,Infosys BPM Limited,"Scottsdale, AZ",10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),1,Scottsdale,AZ,41,analyst,na
Data Analyst I,44 ,87,61.864,3.8,Astreya,"Denver, CO",1001 to 5000 Employees,2001,Company - Private,Information Technology Support Services,Information Technology,$50 to $100 million (USD),0,Denver,CO,21,analyst,na
Data Analyst,62.4,83.2,72.8,4.4,Internal Data Resources,Remote,201 to 500 Employees,1998,Company - Private,HR Consulting,Human Resources & Staffing,$50 to $100 million (USD),1,Remote,Remote,24,analyst,na
Data Analyst/Modeler,80 ,85,82.5,3.8,Millennial Specialty Insurance,Remote,501 to 1000 Employees,2006,Company - Private,Insurance Agencies & Brokerages,Insurance,$25 to $50 million (USD),0,Remote,Remote,16,analyst,na
