Job Title,Salary Minimum,Salary Maximum,Salary Average,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Analyst + Apprentice (Entry-Level),$35K ,$45K,"$40,000 /yr (est.)",3.3,"New Apprenticeship
3.3","Raleigh, NC",1 to 50 Employees,,Company - Private,,,Unknown / Non-Applicable
Data Analyst,$97K ,$135K,"$116,000 /yr (est.)",3.6,"KEYENCE
3.6","Itasca, IL",5001 to 10000 Employees,1974,Company - Public,Machinery Manufacturing,Manufacturing,$5 to $10 million (USD)
Data Analyst,$100K ,$110K,"$105,000 /yr (est.)",3.7,"National Association of Boards of Pharmacy
3.7","Mount Prospect, IL",51 to 200 Employees,1904,Nonprofit Organization,Membership Organizations,Management & Consulting,$25 to $50 million (USD)
"Remote - Test Data Analyst (SQL queries, ALM, Excel)",$50.00 /hr,$55.00,$52.50 /hr (est.),,Compest Solutions Inc,Remote,,,,,,
Data Analyst,$65K ,$80K,"$72,500 /yr (est.)",4.1,"Meritize
4.1",Remote,51 to 200 Employees,2016,Company - Private,Banking & Lending,Financial Services,Unknown / Non-Applicable
Data Analyst,$40K ,$40K,"$40,000 /yr (est.)",3.7,"Apollo Retail
3.7",Remote,1001 to 5000 Employees,1992,Company - Private,Other Retail Stores,Retail & Wholesale,$50 to $100 million (USD)
SQL Data Analyst – Part Time,$18.00 /hr,$18.00,$18.00 /hr (est.),,Sackett Financial Group,"Brea, CA",,,,,,
Data Analyst,,,,,LENDING USA,Remote,,,,,,
Data Analyst II,$90K ,$115K,"$102,500 /yr (est.)",2.3,"Holman
2.3","Mount Laurel, NJ",51 to 200 Employees,1964,Company - Private,Advertising & Public Relations,Media & Communication,$5 to $10 million (USD)
Jr. Data Analyst,$48K ,$98K,"$68,420 /yr (est.)",3.7,"Vdart Inc
3.7","Plano, TX",1001 to 5000 Employees,2007,Company - Private,Information Technology Support Services,Information Technology,$50 to $100 million (USD)
Data Analyst,$48K ,$90K,"$66,214 /yr (est.)",3.5,"Change Healthcare
3.5","Los Angeles, CA",10000+ Employees,2007,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Staff Cybersecurity Analyst (Remote),$120K ,$210K,"$165,000 /yr (est.)",3.8,"The Home Depot
3.8","Atlanta, GA",10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD)
Data Analyst II,$30.00 /hr,$37.00,$33.50 /hr (est.),4.4,"eTeam Inc
4.4",Remote,5001 to 10000 Employees,1999,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
Data Reporting Analyst,$65K ,$85K,"$75,000 /yr (est.)",4.4,"iTalent Digital
4.4",Remote,201 to 500 Employees,2005,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Exciting Data Analyst Job - Direct Hire - Remote,$85K ,$105K,"$95,000 /yr (est.)",4.2,"The HT Group
4.2","Carolina, PR",1 to 50 Employees,2001,Company - Private,HR Consulting,Human Resources & Staffing,$10 to $25 million (USD)
RX Google Data Analyst,$120K ,$120K,"$120,000 /yr (est.)",3.9,"Talent Nexus for Lorien US (Impellam US)
3.9",Remote,1001 to 5000 Employees,2008,Company - Public,HR Consulting,Human Resources & Staffing,$2 to $5 billion (USD)
REMOTE Data Analyst,$130K ,$150K,"$140,000 /yr (est.)",4.1,"CyberCoders
4.1","Los Angeles, CA",201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
Data Analyst,$50.00 /hr,$60.00,$55.00 /hr (est.),,Insight Global,"San Francisco, CA",,,,,,
Data Analyst Supporting the FBI,$25.29 /hr,$25.29,$25.29 /hr (est.),3.3,"FSA Federal
3.3","Linthicum, MD",1001 to 5000 Employees,2004,Company - Private,HR Consulting,Human Resources & Staffing,$50 to $100 million (USD)
Senior Data Analyst,$150K ,$175K,"$162,500 /yr (est.)",4.1,"CyberCoders
4.1","New York, NY",201 to 500 Employees,1999,Subsidiary or Business Segment,Staffing & Subcontracting,Human Resources & Staffing,$100 to $500 million (USD)
Data Analyst - 100% REMOTE,$40.00 /hr,$46.00,$43.00 /hr (est.),5.0,"SGA
5.0",Remote,Unknown,,Company - Public,,,Unknown / Non-Applicable
Administrative Assistant/Data Analyst,$22.00 /hr,$26.00,$24.00 /hr (est.),3.3,"Integrity Consulting
3.3",Remote,1 to 50 Employees,,Company - Private,,,$1 to $5 million (USD)
Administrative Assistant / Data Analyst Supporting the DEA,$20.58 /hr,$20.58,$20.58 /hr (est.),3.3,"FSA Federal
3.3","Cincinnati, OH",1001 to 5000 Employees,2004,Company - Private,HR Consulting,Human Resources & Staffing,$50 to $100 million (USD)
Junior Data Analyst,$26.00 /hr,$30.00,$28.00 /hr (est.),4.5,"Veriant Solutions
4.5","San Antonio, TX",1 to 50 Employees,2011,Company - Private,HR Consulting,Human Resources & Staffing,$1 to $5 million (USD)
Data Analyst,$50.00 /hr,$60.00,$55.00 /hr (est.),,Insight Global,"San Francisco, CA",,,,,,
Data Analyst,$75K ,$90K,"$82,500 /yr (est.)",,"J2A Systems, LLC",Remote,,,,,,
